picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,mdmdmmdmd,,3,"AC Ajaccio"
1.5,65,112,116,250,totommmm,,,"AC Ajaccio"
1.5,149,112,116,159,toto,,,"AC Ajaccio"
1.5,235,112,116,73,toto,,,"AC Ajaccio"
1.5,31,165,170,282,toto,,,"AC Ajaccio"
1.5,105,165,170,204,toto,,,"AC Ajaccio"
1.5,191,165,170,112,toto,,,"AC Ajaccio"
1.5,265,165,170,28,toto,,,"AC Ajaccio"
1.5,119,217,220,129,toto,,,"AC Ajaccio"
1.5,179,217,220,189,toto,,,"AC Ajaccio"
1.5,149,269,273,159,toto,,3,"AC Ajaccio"
1.5,149,557,593,159,,,3,Reims
1.5,223,477,513,74,,,,Reims
1.5,149,497,523,159,,,,Reims
1.5,75,477,513,244,,,,Reims
1.5,255,397,434,49,,,,Reims
1.5,190,427,459,119,,,,Reims
1.5,108,427,459,199,,,,Reims
1.5,42,397,434,269,,,,Reims
1.5,230,343,368,79,,,,Reims
1.5,149,322,350,159,,,,Reims
1.5,67,343,368,239,,,3,Reims
