picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wardi,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,,2,"La Rochelle"
1.5,45,270,275,265,Herrera,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,(C),4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,Liebenberg,,6,"La Rochelle"
1.5,45,180,185,279,Gourdon,,7,"La Rochelle"
1.5,150,180,185,155,Vito,,8,"La Rochelle"
1.5,205,135,135,75,"Le Bail",,9,"La Rochelle"
1.5,90,135,135,240,West,,10,"La Rochelle"
1.5,275,90,85,15,Rhule,,11,"La Rochelle"
1.5,195,90,85,110,Favre,,12,"La Rochelle"
1.5,100,90,85,205,Sinzelle,,13,"La Rochelle"
1.5,25,90,85,300,Retière,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,"Fisi\'ihoi",,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Corato,,3,Pau
1.5,200,360,405,200,Cummins,,4,Pau
1.5,100,360,405,110,Metz,,5,Pau
1.5,45,405,450,279,Habel-Küffner,,6,Pau
1.5,250,405,450,35,Whitelock,(C),7,Pau
1.5,150,405,450,155,Gorgadze,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Hastoy,,10,Pau
1.5,25,495,545,300,Tuimaba,,11,Pau
1.5,105,495,545,205,Decron,,12,Pau
1.5,200,495,545,110,Roudil,,13,Pau
1.5,275,495,545,15,Manu,,14,Pau
1.5,150,535,590,155,Colombet,,15,Pau
