picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Lombard-Buret,,1,Agen
1.5,150,270,275,155,Zarantonello,,2,Agen
1.5,45,270,275,265,Hamadache,,3,Agen
1.5,200,225,225,110,Maksymiw,,4,Agen
1.5,100,225,225,200,Farrance,,5,Agen
1.5,250,180,185,35,Duputs,,6,Agen
1.5,45,180,185,279,Farré,(C),7,Agen
1.5,150,180,185,155,Lokotui,,8,Agen
1.5,205,135,135,75,Takulua,,9,Agen
1.5,90,135,135,240,Lagarde,,10,Agen
1.5,275,90,85,15,Rokoduru,,11,Agen
1.5,195,90,85,110,Ramoka,,12,Agen
1.5,100,90,85,205,Belan,,13,Agen
1.5,25,90,85,300,Raïlevu,,14,Agen
1.5,150,50,40,155,Buttin,,15,Agen
1.5,45,315,355,265,Plantier,,1,Aurillac
1.5,150,315,355,155,Nioradze,,2,Aurillac
1.5,250,315,355,50,Kartvelishvili,,3,Aurillac
1.5,200,360,405,200,Masterson,,4,Aurillac
1.5,100,360,405,110,Singer,,5,Aurillac
1.5,45,405,450,279,Shvangiradze,,6,Aurillac
1.5,250,405,450,35,Profit,,7,Aurillac
1.5,150,405,450,155,Maituku,(C),8,Aurillac
1.5,90,450,500,240,Alania,,9,Aurillac
1.5,205,450,500,75,Aucagne,,10,Aurillac
1.5,25,495,545,300,Coertzen,,11,Aurillac
1.5,105,495,545,205,Vaccaro,,12,Aurillac
1.5,200,495,545,110,Niko,,13,Aurillac
1.5,275,495,545,15,Yabaki,,14,Aurillac
1.5,150,535,590,155,Neisen,,15,Aurillac
