picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Paiva,,1,Bordeaux-Bègles
1.5,150,270,275,155,Dweba,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Jolmes,,4,Bordeaux-Bègles
1.5,100,225,225,200,Marais,(C),5,Bordeaux-Bègles
1.5,250,180,185,35,Woki,,6,Bordeaux-Bègles
1.5,45,180,185,279,Vergnes,,7,Bordeaux-Bègles
1.5,150,180,185,155,Roussel,,8,Bordeaux-Bègles
1.5,205,135,135,75,Cordero,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Hulleu,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Seuteni,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cros,,14,Bordeaux-Bègles
1.5,150,50,40,155,Bielle-Biarrey,,15,Bordeaux-Bègles
1.5,45,315,355,265,"W. Jones",,1,Scarlets
1.5,150,315,355,155,Elias,,2,Scarlets
1.5,250,315,355,50,John,,3,Scarlets
1.5,200,360,405,200,Lousi,,4,Scarlets
1.5,100,360,405,110,Shingler,,5,Scarlets
1.5,45,405,450,279,Thomson,,6,Scarlets
1.5,250,405,450,35,Lezana,,7,Scarlets
1.5,150,405,450,155,Kalamafoni,,8,Scarlets
1.5,90,450,500,240,"G. Davies",,9,Scarlets
1.5,205,450,500,75,Costelow,,10,Scarlets
1.5,25,495,545,300,Evans,,11,Scarlets
1.5,105,495,545,205,"S. Williams",,12,Scarlets
1.5,200,495,545,110,"J. Davies",,13,Scarlets
1.5,275,495,545,15,McNicholl,,14,Scarlets
1.5,150,535,590,155,"L. Williams",,15,Scarlets
