picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi\'ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Cummins,,4,Pau
1.5,100,225,225,200,Tagitagivalu,,5,Pau
1.5,250,180,185,35,Gorgadze,,6,Pau
1.5,45,180,185,279,Puech,,7,Pau
1.5,150,180,185,155,Joseph,,8,Pau
1.5,205,135,135,75,Daubagna,,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,Roudil,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Ikpefan,,14,Pau
1.5,150,50,40,155,Carol,,15,Pau
1.5,45,315,355,265,Ainuu,,1,Toulouse
1.5,150,315,355,155,Cramont,,2,Toulouse
1.5,250,315,355,50,Faumuina,,3,Toulouse
1.5,200,360,405,200,"Richie Arnold",,4,Toulouse
1.5,100,360,405,110,"Rory Arnold",,5,Toulouse
1.5,45,405,450,279,Placines,(C),6,Toulouse
1.5,250,405,450,35,Elstadt,,7,Toulouse
1.5,150,405,450,155,Tolofua,,8,Toulouse
1.5,90,450,500,240,Germain,,9,Toulouse
1.5,205,450,500,75,Ramos,,10,Toulouse
1.5,25,495,545,300,Delibes,,11,Toulouse
1.5,105,495,545,205,Chocobares,,12,Toulouse
1.5,200,495,545,110,Guitoune,,13,Toulouse
1.5,275,495,545,15,Lebel,,14,Toulouse
1.5,150,535,590,155,Mallia,,15,Toulouse
