picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Lamositele,,1,Montpellier
1.5,150,270,275,155,Guirado,,2,Montpellier
1.5,45,270,275,265,Haouas,,3,Montpellier
1.5,200,225,225,110,Verhaeghe,,4,Montpellier
1.5,100,225,225,200,Chalureau,,5,Montpellier
1.5,250,180,185,35,Becognée,,6,Montpellier
1.5,45,180,185,279,Camara,(C),7,Montpellier
1.5,150,180,185,155,Mercer,,8,Montpellier
1.5,205,135,135,75,Paillaugue,,9,Montpellier
1.5,90,135,135,240,Garbisi,,10,Montpellier
1.5,275,90,85,15,Rattez,,11,Montpellier
1.5,195,90,85,110,Serfontein,,12,Montpellier
1.5,100,90,85,205,Doumayrou,,13,Montpellier
1.5,25,90,85,300,Vincent,,14,Montpellier
1.5,150,50,40,155,Bouthier,,15,Montpellier
1.5,45,315,355,265,Paiva,,1,Bordeaux-Bègles
1.5,150,315,355,155,Maynadier,,2,Bordeaux-Bègles
1.5,250,315,355,50,Cobilas,,3,Bordeaux-Bègles
1.5,200,360,405,200,Woki,,4,Bordeaux-Bègles
1.5,100,360,405,110,Douglas,,5,Bordeaux-Bègles
1.5,45,405,450,279,Petti,,6,Bordeaux-Bègles
1.5,250,405,450,35,Diaby,(C),7,Bordeaux-Bègles
1.5,150,405,450,155,Vergnes,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lucu,,9,Bordeaux-Bègles
1.5,205,450,500,75,Jalibert,,10,Bordeaux-Bègles
1.5,25,495,545,300,Lam,,11,Bordeaux-Bègles
1.5,105,495,545,205,Moefana,,12,Bordeaux-Bègles
1.5,200,495,545,110,Seuteni,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cordero,,14,Bordeaux-Bègles
1.5,150,535,590,155,Buros,,15,Bordeaux-Bègles
