picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Erdocio,,1,Biarritz
1.5,150,270,275,155,Sauveterre,,2,Biarritz
1.5,45,270,275,265,Millar,(C),3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Tyrell,,5,Biarritz
1.5,250,180,185,35,Augry,,6,Biarritz
1.5,45,180,185,279,Hébert,,7,Biarritz
1.5,150,180,185,155,Francoz,,8,Biarritz
1.5,205,135,135,75,Aurrekoetxea,,9,Biarritz
1.5,90,135,135,240,Germain,,10,Biarritz
1.5,275,90,85,15,Fariscot,,11,Biarritz
1.5,195,90,85,110,Cadot,,12,Biarritz
1.5,100,90,85,205,Perraux,,13,Biarritz
1.5,25,90,85,300,Speight,,14,Biarritz
1.5,150,50,40,155,Jonas,,15,Biarritz
1.5,45,315,355,265,Tartas,,1,Colomiers
1.5,150,315,355,155,Ready,,2,Colomiers
1.5,250,315,355,50,Bellemand,,3,Colomiers
1.5,200,360,405,200,Thomas,,4,Colomiers
1.5,100,360,405,110,Ricard,,5,Colomiers
1.5,45,405,450,279,Coletta,(C),6,Colomiers
1.5,250,405,450,35,Peysson,,7,Colomiers
1.5,150,405,450,155,Lescure,,8,Colomiers
1.5,90,450,500,240,Seguela,,9,Colomiers
1.5,205,450,500,75,Javaux,,10,Colomiers
1.5,25,495,545,300,Rokoduguni,,11,Colomiers
1.5,105,495,545,205,Campagnard,,12,Colomiers
1.5,200,495,545,110,Maurino,,13,Colomiers
1.5,275,495,545,15,Moro,,14,Colomiers
1.5,150,535,590,155,Girard,,15,Colomiers
