picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,m,,1,France
1.5,150,270,275,155,m,,2,France
1.5,45,270,275,265,m,,3,France
1.5,200,225,225,110,m,,4,France
1.5,100,225,225,200,m,,5,France
1.5,250,180,185,35,m,,6,France
1.5,45,180,185,279,m,,7,France
1.5,150,180,185,155,m,,8,France
1.5,205,135,135,75,m,,9,France
1.5,90,135,135,240,m,,10,France
1.5,275,90,85,15,m,,11,France
1.5,195,90,85,110,m,,12,France
1.5,100,90,85,205,m,,13,France
1.5,25,90,85,300,m,,14,France
1.5,150,50,40,155,m,,15,France
1.5,45,315,355,265,m,,1,Galles
1.5,150,315,355,155,m,,2,Galles
1.5,250,315,355,50,m,,3,Galles
1.5,200,360,405,200,m,,4,Galles
1.5,100,360,405,110,m,,5,Galles
1.5,45,405,450,279,m,,6,Galles
1.5,250,405,450,35,m,,7,Galles
1.5,150,405,450,155,m,,8,Galles
1.5,90,450,500,240,m,,9,Galles
1.5,205,450,500,75,m,,10,Galles
1.5,25,495,545,300,m,,11,Galles
1.5,105,495,545,205,m,,12,Galles
1.5,200,495,545,110,m,,13,Galles
1.5,275,495,545,15,m,,14,Galles
1.5,150,535,590,155,m,,15,Galles
