picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,XX,,1,Sharks
1.5,150,270,275,155,XX,,2,Sharks
1.5,45,270,275,265,XX,,3,Sharks
1.5,200,225,225,110,XX,,4,Sharks
1.5,100,225,225,200,XX,,5,Sharks
1.5,250,180,185,35,XX,,6,Sharks
1.5,45,180,185,279,XX,,7,Sharks
1.5,150,180,185,155,XX,,8,Sharks
1.5,205,135,135,75,XX,,9,Sharks
1.5,90,135,135,240,XX,,10,Sharks
1.5,275,90,85,15,XX,,11,Sharks
1.5,195,90,85,110,XX,(C),12,Sharks
1.5,100,90,85,205,XX,,13,Sharks
1.5,25,90,85,300,XX,,14,Sharks
1.5,150,50,40,155,XX,,15,Sharks
1.5,45,315,355,265,XX,,1,"La Rochelle"
1.5,150,315,355,155,XX,,2,"La Rochelle"
1.5,250,315,355,50,XX,,3,"La Rochelle"
1.5,200,360,405,200,XX,,4,"La Rochelle"
1.5,100,360,405,110,XX,,5,"La Rochelle"
1.5,45,405,450,279,XX,,6,"La Rochelle"
1.5,250,405,450,35,XX,,7,"La Rochelle"
1.5,150,405,450,155,XX,,8,"La Rochelle"
1.5,90,450,500,240,XX,(C),9,"La Rochelle"
1.5,205,450,500,75,XX,,10,"La Rochelle"
1.5,25,495,545,300,XX,,11,"La Rochelle"
1.5,105,495,545,205,XX,,12,"La Rochelle"
1.5,200,495,545,110,XX,,13,"La Rochelle"
1.5,275,495,545,15,XX,,14,"La Rochelle"
1.5,150,535,590,155,XX,,15,"La Rochelle"
